# Lux chain differential corpus.
# Generated by conformance/gen from the Go P-chain and X-chain.
# V	<id>	<chain>	<op>	<wire-hex>
V	P_ADD_CHAIN_VALIDATOR	P	tx	5a41500002000000e00000008101000009090909090909090909090909090909090909090909090909090909090909090000000000000000640000000000000001000000000000000000000000000000010000000000000001010101010101010101010101010101010101010000000001010101010101010101010101010101010101010101010101010101010101010000000009090909090909090909090909090909090909090909090909090909090909090000000000000000c800000000000000000000000100000000000000000000000000000000000000000000000c0100000003030303030303030303030303030303030303030303030303030303030303030bffffff010000004bffffff010000005bffffff01000000b3ffffff0100000000000000000000000505050505050505050505050505050505050505e803000000000000e878120000000000320000000000000006060606060606060606060606060606060606060606060606060606060606065fffffff010000005a41500002000000a8000000b800000000000000010000000100000001000000db29830f57afe31c6492a2e8e89fc7fc43ef5ca7ae59d17c0854927633226e4f2eb5fa8f5655994bf899e4b3bc50d099fbd8642b59438cbe4f13d9c3bd8bc5f601db29830f57afe31c6492a2e8e89fc7fc43ef5ca7ae59d17c0854927633226e4f2eb5fa8f5655994bf899e4b3bc50d099fbd8642b59438cbe4f13d9c3bd8bc5f60100000000000068ffffff0200000070ffffff02000000
V	P_ADD_DELEGATOR	P	tx	5a4150000200000050010000ed01000009090909090909090909090909090909090909090909090909090909090909090000000000000000640000000000000001000000000000000000000000000000010000000000000001010101010101010101010101010101010101010000000001010101010101010101010101010101010101010101010101010101010101010000000009090909090909090909090909090909090909090909090909090909090909090000000000000000c80000000000000000000000010000000000000000000000000000000909090909090909090909090909090909090909090909090909090909090909000000000000000032000000000000000100000000000000000000000000000001000000000000000202020202020202020202020202020202020202000000000303030303030303030303030303030303030303000000000d0100000003030303030303030303030303030303030303030303030303030303030303039bfeffff01000000dbfeffff01000000ebfeffff0100000043ffffff0100000000000000000000000505050505050505050505050505050505050505e803000000000000e87812000000000032000000000000000fffffff010000004fffffff0100000001000000000000000000000053ffffff010000005a41500002000000600000007000000000000000010000002a9444beac24a0bff18d8a00317b03aa70bb33461e9d649c8f384e53cdc3040470c47cc01acbf7c80e58c48bf3cd39488280ea2e369ce3c7079ab3384e306f9b0100000000000000b0ffffff01000000b0ffffff01000000
V	P_ADD_PERMISSIONLESS_VALIDATOR	P	tx	5a4150000200000068010000ce02000009090909090909090909090909090909090909090909090909090909090909090000000000000000640000000000000001000000000000000000000000000000010000000000000001010101010101010101010101010101010101010000000001010101010101010101010101010101010101010101010101010101010101010000000009090909090909090909090909090909090909090909090909090909090909090000000000000000c80000000000000000000000010000000000000000000000000000000909090909090909090909090909090909090909090909090909090909090909000000000000000032000000000000000100000000000000000000000000000001000000000000000202020202020202020202020202020202020202000000000303030303030303030303030303030303030303000000000404040404040404040404040404040404040404000000000e01000000030303030303030303030303030303030303030303030303030303030303030383feffff01000000c3feffff01000000d3feffff010000002bffffff0100000000000000000000000505050505050505050505050505050505050505e803000000000000e87812000000000032000000000000000606060606060606060606060606060606060606060606060606060606060606018e5a712e4cb2c51893c27ae19afb3455f3efcc66030dc25e13eb1afc2edf397317a0bb2d28a55513a32d7dcc404be3ba93de1c56e44e99ab094476d433e46a783178789a56b397bf3427c498890e22548513eb859ac294ffb12243bf83c75e1b10b269afb23686e0505d4893cfed7b4a627e4f74c5252bc80a385b2687c132ca102342722249e41ed9a4dac75596cf7246feffff0100000086feffff010000000100000000000000000000008afeffff010000000100000000000000000000008efeffff01000000204e00005a415000020000006000000070000000000000000100000035b9cea8d7bdd07b0a3e2b4381ab13a91d6278eeb9910f984e2b60182d152b1f6c79d5b1f1a95ff5b34df547da96264a7b33b5928ee436a5ce424c469d6b74700100000000000000b0ffffff01000000b0ffffff01000000
V	P_ADD_PERMISSIONLESS_DELEGATOR	P	tx	5a41500002000000500100000d02000009090909090909090909090909090909090909090909090909090909090909090000000000000000640000000000000001000000000000000000000000000000010000000000000001010101010101010101010101010101010101010000000001010101010101010101010101010101010101010101010101010101010101010000000009090909090909090909090909090909090909090909090909090909090909090000000000000000c80000000000000000000000010000000000000000000000000000000909090909090909090909090909090909090909090909090909090909090909000000000000000032000000000000000100000000000000000000000000000001000000000000000202020202020202020202020202020202020202000000000303030303030303030303030303030303030303000000000f0100000003030303030303030303030303030303030303030303030303030303030303039bfeffff01000000dbfeffff01000000ebfeffff0100000043ffffff0100000000000000000000000505050505050505050505050505050505050505e803000000000000e87812000000000032000000000000000606060606060606060606060606060606060606060606060606060606060606effeffff010000002fffffff0100000001000000000000000000000033ffffff010000005a4150000200000060000000700000000000000001000000dd73a8c2f339701c750fa58efccd8bfa17edce4eb63ac9c1ee2c479dfda78eb119754177c6c9aaf31a5ab136bf36a8dcb7c71f4f015c07952de1b0c8aec2a0da0100000000000000b0ffffff01000000b0ffffff01000000
V	P_REGISTER_L1_VALIDATOR	P	tx	5a41500002000000d80000004003000009090909090909090909090909090909090909090909090909090909090909090000000000000000640000000000000001000000000000000000000000000000010000000000000001010101010101010101010101010101010101010000000001010101010101010101010101010101010101010101010101010101010101010000000009090909090909090909090909090909090909090909090909090909090909090000000000000000c80000000000000000000000010000000000000000000000000000001001000000030303030303030303030303030303030303030303030303030303030303030313ffffff0100000053ffffff0100000063ffffff01000000bbffffff01000000000000000000000009030000000000008fe4dba033e2bda55a2533df649c5392faa0c1e414c7f1f419197528b2ac0f61c2360a74c2b55997e0c428ffa446b49701979803d45c0babc8f0f9d59f0959f5d683270043157f02913629333b1442889e45e0a3d62584fe5679df2ca19da7b808000000ab0100005a4150000200000010000000ab0100001000000011010000190100007a0000005a41500002000000100000001101000001000000060606060606060606060606060606060606060606060606060606060606060608000000d50000005a4150000200000040000000d50000000101010101010101010101010101010101010101000000000202020202020202020202020202020202020202000000000106060606060606060606060606060606060606060606060606060606060606068e5a712e4cb2c51893c27ae19afb3455f3efcc66030dc25e13eb1afc2edf397317a0bb2d28a55513a32d7dcc404be3ba6837e10100000000640000000000000020000000140000000100000063ffffff01000000010000006fffffff0100000005050505050505050505050505050505050505055a41500002000000100000007a00000000a52b3695a74f6920cd38b43c6bb3b1b950a2b5b0b2ef59ec8035f63df1b7d5690bdf1b6b4c990ab0197c3fb91e4d51c702b4c3333bcbd46bebf03d2a98f69b5262a1058caabb043f3047d9391dd8e59709e68e6a9487adff797cb23087c49bce0800000001000000805a4150000200000060000000700000000000000001000000d1c6f02a88f3ecb66ddf8d1c33f87d761a5829fc6aac9f4ebe5aede1956ac0066cd8df747d7ef2e677c8baf054d6d5bed48da1ec943b6c4a7035aaf7cf0e35cd0000000000000000b0ffffff01000000b0ffffff01000000
V	P_SET_L1_VALIDATOR_WEIGHT	P	tx	5a41500002000000d80000004402000009090909090909090909090909090909090909090909090909090909090909090000000000000000640000000000000001000000000000000000000000000000010000000000000001010101010101010101010101010101010101010000000001010101010101010101010101010101010101010101010101010101010101010000000009090909090909090909090909090909090909090909090909090909090909090000000000000000c80000000000000000000000010000000000000000000000000000001101000000030303030303030303030303030303030303030303030303030303030303030313ffffff0100000053ffffff0100000063ffffff01000000bbffffff01000000000000000000000008000000170100005a415000020000001000000017010000100000007d000000850000007a0000005a41500002000000100000007d00000001000000060606060606060606060606060606060606060606060606060606060606060608000000410000005a415000020000001000000041000000030d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0100000000000000c8000000000000005a41500002000000100000007a00000000b1bdb5873a7534c3913a4f9a1552a2797a1170defb68c781b3fea8269403e5168ef877d5a1f71c75eb0a29f6e10b2408050b0d519b8b477224e719cc473ca9e2846d80451cdc678d3639b3f5fa5ea768b439603be4f85d902f51e8c87bb0ea850800000001000000805a4150000200000060000000700000000000000001000000db540c611f912ad18725412ed0b3aaac90b5b3b57d16d6f55be79796ec248bef196c18e8ae90efb34b7179ff2aa9ba48d8e439b0763a06c677c12ba8eadcf1db0100000000000000b0ffffff01000000b0ffffff01000000
V	P_INCREASE_L1_VALIDATOR_BALANCE	P	tx	5a41500002000000d80000004d01000009090909090909090909090909090909090909090909090909090909090909090000000000000000640000000000000001000000000000000000000000000000010000000000000001010101010101010101010101010101010101010000000001010101010101010101010101010101010101010101010101010101010101010000000009090909090909090909090909090909090909090909090909090909090909090000000000000000c80000000000000000000000010000000000000000000000000000001201000000030303030303030303030303030303030303030303030303030303030303030313ffffff0100000053ffffff0100000063ffffff01000000bbffffff0100000000000000000000000d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d3f420f00000000005a4150000200000060000000700000000000000001000000f13071ca7b5c8912a912d653f0d27a34350d2023f688c09a1d5620c5d4cb14fa43e6803e027d407b45ce03cae07b3aeadbbe2fbed6d0104bb2916e7bd53cb4a30100000000000000b0ffffff01000000b0ffffff01000000
V	P_DISABLE_L1_VALIDATOR	P	tx	5a41500002000000e00000005501000009090909090909090909090909090909090909090909090909090909090909090000000000000000640000000000000001000000000000000000000000000000010000000000000001010101010101010101010101010101010101010000000001010101010101010101010101010101010101010101010101010101010101010000000009090909090909090909090909090909090909090909090909090909090909090000000000000000c80000000000000000000000010000000000000000000000000000000000000000000000130100000003030303030303030303030303030303030303030303030303030303030303030bffffff010000004bffffff010000005bffffff01000000b3ffffff0100000000000000000000000d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d8bffffff010000005a41500002000000a8000000b80000000000000001000000010000000100000034d336c363d831efb6b1ed5d3bbb80fab9cc42bc7eba5a55638f050f40303d0b0bd565a5f82401158ea3d7f3ec3df11a1dcddf153d65916100226cd4724ca1390134d336c363d831efb6b1ed5d3bbb80fab9cc42bc7eba5a55638f050f40303d0b0bd565a5f82401158ea3d7f3ec3df11a1dcddf153d65916100226cd4724ca1390100000000000068ffffff0200000070ffffff02000000
V	P_CONVERT_NETWORK	P	tx	5a41500002000000c8010000cb02000009090909090909090909090909090909090909090909090909090909090909090000000000000000640000000000000001000000000000000000000000000000010000000000000001010101010101010101010101010101010101010000000001010101010101010101010101010101010101010101010101010101010101010000000009090909090909090909090909090909090909090909090909090909090909090000000000000000c800000000000000000000000100000000000000000000000000000064000000000000008403000000000000969e07701831d8f7a168f7059d0392abafbdc9bf363bd7fff182949d2e09a709d9daa5f0e12c124d7c99ad9640bdc1c4a9894e862fd7d84c5adeb3e469d5da2ef54a18c3711c35662e3ca303e757ffe83aaf0db921689ee15b3334cbf3ddb867044e3003efab812b5e0103b0b6d16839e183b0e395b10079dda28ed084fe6d2995b61636aba68a4b167dd5c7953afde900000000140000000100000000000000010000000100000001000000010000000101010101010101010101010101010101010101020202020202020202020202020202020202020200000000000000001401000000030303030303030303030303030303030303030303030303030303030303030323feffff0100000063feffff0100000073feffff01000000cbfeffff010000000000000000000000060606060606060606060606060606060606060606060606060606060606060600000000000000000000000000000000000000000000000000000000000000001717171717171717171717171717171717171717171717171717171717171717330000000f0000005bfeffff0100000032000000140000000bffffff020000002bffffff01000000000101e8030000000000006d616e61676572206164647265737305050505050505050505050505050505050505055a41500002000000a8000000b8000000000000000100000001000000010000004555681a7a5dc396be40e26fff80b9724a0db9c14271e07130e41d026b1dccdd6369b76b86f4c068e8932f7d02411d57bd5f96c2474e78fadd495bee9c15efb1014555681a7a5dc396be40e26fff80b9724a0db9c14271e07130e41d026b1dccdd6369b76b86f4c068e8932f7d02411d57bd5f96c2474e78fadd495bee9c15efb10100000000000068ffffff0200000070ffffff02000000
V	P_CREATE_NETWORK_SOVEREIGN	P	tx	5a41500002000000d8010000c702000009090909090909090909090909090909090909090909090909090909090909090000000000000000640000000000000001000000000000000000000000000000010000000000000001010101010101010101010101010101010101010000000001010101010101010101010101010101010101010101010101010101010101010000000009090909090909090909090909090909090909090909090909090909090909090000000000000000c80000000000000000000000010000000000000000000000000000000707070707070707070707070707070707070707000000006400000000000000840300000000000084640d72d66e4a7be7e62fc909109e8af3034540b68fe9fe6220cf90f0d1bd5d634dea9aef0eec55ca67604671b5cdc488196df81b18298f0fc23b36cb2a1e7d4e9b4b5b8d013ece732f2e12aed09d41f27c45643934d2617913edffcd856ad30c72e713164d6f7ce51bf34377d096d7fecea554b77c417f85028ffd7fa0a99d2114f15011660a5cd81a58f83f37c5b30000000014000000010000000000000001000000010000000100000001000000010101010101010101010101010101010101010102020202020202020202020202020202020202020601000000030303030303030303030303030303030303030303030303030303030303030313feffff0100000053feffff0100000063feffff01000000bbfeffff010000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000087feffff01000000000101e8030000000000008cfeffff0100000038000000140000003cffffff0200000017171717171717171717171717171717171717171717171717171717171717171c0000000f00000005050505050505050505050505050505050505056d616e6167657220616464726573735a415000020000006000000070000000000000000100000064825eadc0a8b0a8be29671c1fcc5b787eb163e5998bb6140775cb6a9e58b6d953fd46911beccd7873c392ad0e05598de71fe0c75a53bf9a7b784f8c89b820f70100000000000000b0ffffff01000000b0ffffff01000000
V	P_BLOCK_STANDARD	P	block	5a4150000200000018000000ee01000095010000000000000401010101010101010101010101010101010101010101010101010101010101010500000000000000e803000000000000c7ffffff0100000008000000950100005a41500002000000d80000002501000009090909090909090909090909090909090909090909090909090909090909090000000000000000640000000000000001000000000000000000000000000000010000000000000001010101010101010101010101010101010101010000000001010101010101010101010101010101010101010101010101010101010101010000000009090909090909090909090909090909090909090909090909090909090909090000000000000000c80000000000000000000000010000000000000000000000000000000301000000030303030303030303030303030303030303030303030303030303030303030313ffffff0100000053ffffff0100000063ffffff01000000bbffffff0100000000000000000000005a41500002000000600000007000000000000000010000008e76199476bbf04d3d0001cbd5b7a28178de450a43468a342da53fadd07c271f63de877c24d6500cdbf47a64bc281f73304f6315d03b520bea792eb8f222e2cb0100000000000000b0ffffff01000000b0ffffff01000000
V	P_BLOCK_PROPOSAL	P	block	5a41500002000000100000008a0000000301010101010101010101010101010101010101010101010101010101010101010600000000000000e8030000000000000000000000000000000000000000000008000000310000005a415000020000001000000031000000022a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
V	P_BLOCK_COMMIT	P	block	5a4150000200000010000000410000000201010101010101010101010101010101010101010101010101010101010101010700000000000000e803000000000000
V	P_BLOCK_ABORT	P	block	5a4150000200000010000000410000000101010101010101010101010101010101010101010101010101010101010101010800000000000000e803000000000000
V	P_EDGE_ZERO_OUTPUT	P	tx	5a41500002000000d80000002501000009090909090909090909090909090909090909090909090909090909090909090000000000000000000000000000000001000000000000000000000000000000010000000000000001010101010101010101010101010101010101010000000001010101010101010101010101010101010101010101010101010101010101010000000009090909090909090909090909090909090909090909090909090909090909090000000000000000c80000000000000000000000010000000000000000000000000000000301000000030303030303030303030303030303030303030303030303030303030303030313ffffff0100000053ffffff0100000063ffffff01000000bbffffff0100000000000000000000005a4150000200000060000000700000000000000001000000d4927f2e214257da5b25c590d54aa30db4a880d3e60f5e3eed3717a06061b981501fe54d606d5f513b1e731e86930c89947dd6d08cb418e13c63dd1b858ad61a0000000000000000b0ffffff01000000b0ffffff01000000
V	P_EDGE_OUTPUT_OVERFLOW	P	tx	5a41500002000000300100007d01000009090909090909090909090909090909090909090909090909090909090909090000000000000000000000000000008001000000000000000000000000000000010000000000000009090909090909090909090909090909090909090909090909090909090909090000000000000000000000000000008001000000000000000000000001000000010000000000000001010101010101010101010101010101010101010202020202020202020202020202020202020202010101010101010101010101010101010101010101010101010101010101010100000000090909090909090909090909090909090909090909090909090909090909090900000000000000000100000000000000000000000100000000000000000000000000000003010000000303030303030303030303030303030303030303030303030303030303030303bbfeffff0200000043ffffff0200000063ffffff01000000bbffffff0100000000000000000000005a41500002000000600000007000000000000000010000004287c3186c1a43bfc7a660d0eb5374689826425a9673b756bfc32750235da69d7a95c5ea99b5e75d4c44cf78717f33fd0506943f90462107634edea7278525100100000000000000b0ffffff01000000b0ffffff01000000
V	P_EDGE_INPUT_OVERFLOW	P	tx	5a415000020000003801000085010000090909090909090909090909090909090909090909090909090909090909090900000000000000006400000000000000010000000000000000000000000000000100000000000000010101010101010101010101010101010101010100000000010101010101010101010101010101010101010101010101010101010101010100000000090909090909090909090909090909090909090909090909090909090909090900000000000000000000000000000080000000000100000000000000020202020202020202020202020202020202020202020202020202020202020200000000090909090909090909090909090909090909090909090909090909090909090900000000000000000000000000000080010000000100000000000000000000000000000003010000000303030303030303030303030303030303030303030303030303030303030303b3feffff01000000f3feffff0100000003ffffff02000000bbffffff0200000000000000000000005a41500002000000a8000000b800000000000000010000000100000001000000e6930c069345e22f5aaaccee48753e274271c6541a28ef7198e6da25495c87ea249c1c2733bcdae8cac4ee0e05dd552ae60065d027ac4ac5036ed9c79198904600e6930c069345e22f5aaaccee48753e274271c6541a28ef7198e6da25495c87ea249c1c2733bcdae8cac4ee0e05dd552ae60065d027ac4ac5036ed9c7919890460000000000000068ffffff0200000070ffffff02000000
V	P_EDGE_UNSORTED_OUTPUTS	P	tx	5a41500002000000300100007d010000c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8000000000000000064000000000000000100000000000000000000000000000001000000000000000909090909090909090909090909090909090909090909090909090909090909000000000000000064000000000000000100000000000000000000000100000001000000000000000101010101010101010101010101010101010101020202020202020202020202020202020202020201010101010101010101010101010101010101010101010101010101010101010000000009090909090909090909090909090909090909090909090909090909090909090000000000000000c800000000000000000000000100000000000000000000000000000003010000000303030303030303030303030303030303030303030303030303030303030303bbfeffff0200000043ffffff0200000063ffffff01000000bbffffff0100000000000000000000005a415000020000006000000070000000000000000100000038e3a5174007fa3063435050e3bfd909d39ddc2395413577d76835b75c6742d172b97fd16450c14b80bad616adbfc8e573cd69fb69808babb8ab5b147a5662350100000000000000b0ffffff01000000b0ffffff01000000
